REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3067 7700 KAP2308 525 F2009S03 367,71 158,89 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3069 CSCF551 KAP602 523 F2009S03 368,07 153,97 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3070 IZSNS3758 KAP2172 523 F2009S03 383,84 159,14 0,00 0,00 0,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3079 1752 FORT3498 513 F2009S03 384,89 165,06 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3080 CSCF551 KAP602 513 F2009S03 352,73 156,20 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3083 1752 QUI2668 511 F2009S03 347,65 125,09 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3088 7700 KAP915 507 F2009S03 381,85 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3091 CSCN6330 IPE1800 498 F2009S03 402,01 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3095 CSCN7356 KAP1138 495 F2009S03 405,56 0,00 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3097 CSCN7827 KAP2220 494 F2009S03 347,37 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3102 IZSNS3758 KAP2360 488 F2009S03 270,49 0,00 0,00 0,00 0,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3103 IZSNS3758 KAP2281 487 F2009S03 379,47 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3109 IPE1384 KAP1359 475 F2009S03 335,79 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3112 1752 FORT3498 823 M2009N_INF 342,83 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 35,00 M 2009 N_INF
KAP3113 JGAL2206 KAP1814 473 F2009S03 313,95 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3115 RDM2267 KAP2536 472 F2009S03 307,63 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3117 KAP946 KAP558 471 F2009S03 369,00 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3127 KAP946 KAP1875 465 F2009S03 347,74 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3131 I-3165 KAP2395 463 F2009S03 334,99 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3134 BRUMA0376 KAP2373 462 F2009S03 323,81 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3136 CSCN7356 KAP1678 460 F2009S03 363,48 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3137 KAP2376 KAP2337 452 F2009S03 310,29 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3138 JGAL2206 KAP642 449 F2009S03 367,48 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3140 KAP946 KAP1592 446 F2009S03 326,79 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3143 G9000 GEN5352 444 F2009S03 227,93 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3152 1752 QUI2668 780 M2009N_INF 354,68 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 33,00 M 2009 N_INF
KAP3168 SIQ815 KAP1450 760 M2010N_INF 354,24 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 31,50 M 2010 N_INF
KAP3171 GRI8683 KAP1982 756 M2010N_INF 304,10 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 29,50 M 2010 N_INF
KAP3173 IPE1384 GEN5114 759 F2010S08 321,01 0,00 5,00 5,00 5,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3176 CSCF551 KAP602 731 M2010N_INF 395,01 0,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 35,50 M 2010 N_INF
KAP3180 CSCF551 KAP602 728 M2010N_INF 357,35 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 34,00 M 2010 N_INF
KAP3186 1752 PORT0005 721 M2010N_INF 330,31 166,70 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
KAP3206 1752 PORT597 704 M2010N_INF 393,36 195,29 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 33,00 M 2010 N_INF
KAP3207 1752 PORT597 703 M2010N_INF 373,97 238,29 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 33,50 M 2010 N_INF
KAP3210 1752 PORT597 687 M2010N_INF 365,07 181,88 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 34,00 M 2010 N_INF
KAP3214 1752 KAP2615A 681 M2010N_INF 339,21 182,75 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3218 1752 KAP2615A 679 M2010N_INF 359,65 181,47 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 28,00 M 2010 N_INF
KAP3219 CSCF551 KAP1514 707 M2010N_INF 339,96 124,07 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3221 A1646 KAP1514 674 M2010N_INF 334,16 145,41 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 23,00 M 2010 N_INF
